"id","geom","heigh","id_shp","nm_village","nm_town","nm_county","nm_busi_in","dis_tam","area"
247786,"MULTIPOLYGON (((116.45318335265003 39.8881716088783, 116.45311878524696 39.88817145845658, 116.45312414509198 39.88833610400906, 116.45318871302804 39.88833213862069, 116.45318335265003 39.8881716088783)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
247797,"MULTIPOLYGON (((116.44647997067102 39.88830487046291, 116.44634549259399 39.88830047079419, 116.44634548479 39.88836220809613, 116.44647996234701 39.88837072357903, 116.44647997067102 39.88830487046291)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247888,"MULTIPOLYGON (((116.44650685555804 39.88839135950906, 116.44642078906705 39.88839117769556, 116.44642613699803 39.88863813760933, 116.44652296288703 39.88863011058077, 116.44650685555804 39.88839135950906)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247901,"MULTIPOLYGON (((116.44101536517499 39.8886107678585, 116.44080563036903 39.88861036644547, 116.44080562359498 39.88866387186396, 116.44101535840103 39.88866427327691, 116.44101536517499 39.8886107678585)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
248099,"MULTIPOLYGON (((116.449282575177 39.889134085010696, 116.44928258297405 39.88907234838768, 116.44937941944703 39.889072562271615, 116.44937942880398 39.88899847825189, 116.44914809734803 39.889002083599735, 116.44914808071397 39.88913378846151, 116.449282575177 39.889134085010696)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
248118,"MULTIPOLYGON (((116.45236541149397 39.88895583219454, 116.45218247667904 39.888955410956385, 116.45218244915598 39.889173547165214, 116.452365383972 39.88917396840319, 116.45236541149397 39.88895583219454)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
248141,"MULTIPOLYGON (((116.44460798270397 39.88922291382593, 116.44460799051204 39.88916117729023, 116.44437670621704 39.889164820373125, 116.44438207707404 39.88922656787641, 116.44460798270397 39.88922291382593)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
248608,"MULTIPOLYGON (((116.44891660901295 39.890265108178795, 116.448109666147 39.8902592319552, 116.44810965886697 39.8903168518207, 116.44891660173398 39.89032272804083, 116.44950299696804 39.89032813658884, 116.449503004765 39.89026640102418, 116.44891660901295 39.890265108178795)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
248717,"MULTIPOLYGON (((116.45160118998 39.890604489663396, 116.45160119725205 39.8905468700298, 116.45070808355402 39.8905489605754, 116.45070807679899 39.890602464519255, 116.45160118998 39.890604489663396)))","6",639.0,广外南社区,双井街道,朝阳区,劲松,5464.015861979464,0.108659615719795
248896,"MULTIPOLYGON (((116.45105235597002 39.89099834706378, 116.451046986183 39.890916021572465, 116.45079949873399 39.89091957787687, 116.450804868467 39.891001903320934, 116.45105235597002 39.89099834706378)))","6",639.0,广外南社区,双井街道,朝阳区,劲松,5464.015861979464,0.108659615719795
249061,"MULTIPOLYGON (((116.45190779591601 39.89118138458181, 116.45183247099203 39.89118121208158, 116.45183244761898 39.891366416190245, 116.45190777254298 39.8913665886903, 116.45190779591601 39.89118138458181)))","6",639.0,广外南社区,双井街道,朝阳区,劲松,5464.015861979464,0.108659615719795
249180,"MULTIPOLYGON (((116.447189599309 39.89171831205327, 116.447184238193 39.8915742537082, 116.44672699973498 39.89157739573697, 116.44673236074404 39.891721453989675, 116.447189599309 39.89171831205327)))","6",642.0,广泉社区,双井街道,朝阳区,劲松,5047.045766987918,0.094369553029507
249180,"MULTIPOLYGON (((116.447189599309 39.89171831205327, 116.447184238193 39.8915742537082, 116.44672699973498 39.89157739573697, 116.44673236074404 39.891721453989675, 116.447189599309 39.89171831205327)))","6",639.0,广外南社区,双井街道,朝阳区,劲松,5464.015861979464,0.108659615719795
249390,"MULTIPOLYGON (((116.47063726339304 39.892249763390076, 116.47047575871399 39.89224931737192, 116.47047036852898 39.89230280518672, 116.470637256171 39.89230738165224, 116.47063726339304 39.892249763390076)))","6",645.0,九龙南社区,双井街道,朝阳区,"大望路,双井",6343.206583190578,0.575663360485077
249502,"MULTIPOLYGON (((116.48318763067402 39.89243793263764, 116.48312840009696 39.89243775874634, 116.48312838367703 39.89256945727069, 116.48319299936601 39.89256553139666, 116.48318763067402 39.89243793263764)))","6",90604.0,茂兴社区,双井街道,朝阳区,大望路,7198.526203386679,0.352545471326828
